,미디어타입,제목,장소명,장소설명,영업시간,브레이크타임,휴무일,주소,위도,경도,전화번호,최종작성일,img
0,drama,(아는 건 별로 없지만) 가족입니다,커피파머,6회에서 김은희(한예리)와 안효석(이종원)이 윤태형(김태호)의 은신처에서 서울로 돌아갈 때 이 카페에 들린다.,매일 09시 - 21시,정보없음,연중무휴,경기도 고양시 일산서구 대화로 61,37.667523,126.72817,031-1899-8903,2022-11-25,https://th.bing.com/th/id/OIP.FoMo-D1_gw_GUrscdVd2SQHaE8?w=244&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
1,drama,(아는 건 별로 없지만) 가족입니다,셀렉토커피 남양주호평점,10회에서 하라(배윤경)는 은희(한예리)에게 이 커피숍에서 만나자고 메시지를 보낸다. 그녀는 은희에게 곧 미국으로 돌아간다고 알리고 건주(신동욱)에 대한 이야기를 이어간다.,매일 08시 - 22시,정보없음,연중무휴,경기도 남양주시 천마산로 21,37.663558,127.24748,031-511-6362,2022-11-25,https://th.bing.com/th/id/OIP.1Vl1Sv3JJOhZPmraiigOeAHaFs?w=265&h=204&c=7&r=0&o=5&dpr=1.3&pid=1.7
2,drama,(아는 건 별로 없지만) 가족입니다,카페 그루비,"안효석(이종원)은 바리스타로, 김은주(추자현)는 단골손님이다. 1화에서 이진숙(원미경)이 자녀와 사위에게 폭탄을 떨어뜨리는 장면이 나온다.",매일 12시 - 22시,정보없음,연중무휴,경기도 수원시 영통구 센트럴파크로127번길 148,37.293983,127.05538,031-214-1288,2022-11-25,https://th.bing.com/th/id/OIP.AfzMAYK2b8VZFz7v6zwxAwHaHR?w=204&h=200&c=7&r=0&o=5&dpr=1.3&pid=1.7
3,drama,(아는 건 별로 없지만) 가족입니다,미리내 성지,"시누이 도혜지(황우슬혜)는 남편이 가문의 회사를 상속받을 수 있도록 그녀가 길을 잃지 않기를 바라는 한편, 세리의 비서 홍씨(고규필)과 동시에 그녀가 가능한 한 빨리 발견되기를 기도한다.",매일 09시 - 17시,정보없음,연중무휴,경기도 안성시 양성면 미리내성지로 420,37.146102,127.25865,031-674-1256,2022-11-25,https://th.bing.com/th/id/OIP.FKwVfi4SsgnhqTDPMLoLTAHaE7?w=270&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
4,drama,(아는 건 별로 없지만) 가족입니다,초은당,김은희(한예리)와 동료 서경옥(가득희)은 1회에서 작가 의뢰인을 만나기 위해 이 한옥을 방문한다. 추후 은희는 여기로 돌아와 작가의 명상 세션에 참여합니다. 은희는 눈을 감고 자신의 인생에서 가장 긴 날인 2016년 3월 10일을 회상한다. 세션이 끝난 후 동생 김지우(신재하)와 소원해진 절친 박찬을 보고 놀란다.,매일 11시 - 20시,정보없음,연중무휴,경기도 양평군 서종면 북한강로814번길 46-6,37.611484,127.35397,070-4118-0770,2022-11-25,https://th.bing.com/th/id/OIP.MZUfQAExanXbwLWgnJdbVQHaEZ?w=275&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
5,drama,(아는 건 별로 없지만) 가족입니다,임진각평화누리,10회 P&F에서 계약 체결 후 박찬혁(김석)은 김은희(한예리)에게 그가 가고 싶은 곳이 있다고 말한다. 은희는 찬혁에게 함께 가자고 말한다.,매일 00시 - 24시,정보없음,연중무휴,경기도 파주시 문산읍 마정리 1355,37.892963,126.74435,1670-3856,2022-11-25,https://th.bing.com/th/id/OIP.hOZsB_FwzhAweyJ_dR5bBgHaE8?w=270&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
6,drama,(아는 건 별로 없지만) 가족입니다,지혜의 숲,"15회에서 김은희(한예리)가 이 도서관에서 독립출판사 되기 세미나에 참석하는 모습과 건주 (신동욱)이 화자로 밝혀졌다. 세미나가 끝난 후 두 사람은 대화를 나누는데, 건주는 자신이 그녀의 계획을 따랐다고 말하며 그녀는 이를 반박한다. 그런 다음 그는 그녀가 직장을 그만두기 전에 미국에서 교육 프로그램을 신청해야 한다고 제안합니다. 그들은 밖으로 나갔고 건주는 은희가 해명하지 않으면 기분이 나쁠까 걱정하며 하라와 함께 그 주를 언급한다.",매일 10시 - 20시,정보없음,연중무휴,경기도 파주시 회동길 145,37.7082492,126.686674,0507-1335-0144,2022-11-25,https://th.bing.com/th/id/OIP.V7YpzGGoJAIRrBoqQhipJgHaE8?w=243&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
7,drama,(아는 건 별로 없지만) 가족입니다,카페 종이와 나무,"다구 회장(이덕화 분)이 가장 좋아하는 일일 드라마의 촬영 장소 중 하나로 등장, 회장 자신이 이곳에서 조유정(서혜원)의 어머니 진채림(김영아)과 만나 조유정(서혜원)의 손자 강태무(안효섭)와 딸이 서로를 만나기 시작했다.","평일 09시 30분 - 19시 30분, 주말 09시 30분 - 20시",정보없음,연중무휴,경기도 파주시 회동길 445-1,37.720328,126.69388,031-955-9210,2022-11-25,https://th.bing.com/th/id/OIP.0QopT7uCjAS2BCzwHCsR4gHaE8?w=272&h=181&c=7&r=0&o=5&dpr=1.3&pid=1.7
8,drama,(아는 건 별로 없지만) 가족입니다,퀸즈파크 청담점,"김은희(한예리), 그녀의 동료 친구 서경옥(가득희), 그리고 그녀의 새로운 지인 전하라(배윤경)는 8회에서 쇼핑을 마치고 이 식당에서 저녁을 먹기로 결정했다.","월-수 11시 - 21시, 목-금 11시 - 22시, 토 10시 - 22시, 일 10시 - 21시",정보없음,연중무휴,서울특별시 강남구 압구정로60길 22,37.52592,127.04159,02-542-4073,2022-11-25,https://th.bing.com/th/id/OIP.byekrRHDc9htB95DRfsyfAHaHa?w=187&h=187&c=7&r=0&o=5&dpr=1.3&pid=1.7
9,drama,(아는 건 별로 없지만) 가족입니다,혜심정,13회에서 쉬는 날 박찬혁(김지석 분)을 자발적으로 초대해 이 식당에 함께 간다.,매일 10시 - 22시,정보없음,연중무휴,서울특별시 강북구 삼양로181길 178,37.67139,127.00698,02-993-1550,2022-11-25,https://th.bing.com/th/id/OIP.Zk6jM_RDWlHlzmfChqJYzQHaHa?w=180&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
